icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
ad1e05,SWA3431,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-109.5918,36.3993,11887.2,False,260.67,63.89,0.0,,12595.86,7301,False,0
a54b2a,FFT4946,United States,2026-09-07 06:49:00,2026-09-07 06:49:00,-104.684,39.856,,True,6.69,90.0,,,,1002,False,0
899014,CAL5345,Taiwan,2026-09-07 06:48:59,2026-09-07 06:48:59,-84.2717,33.5031,3086.1,False,152.53,235.72,14.63,,3208.02,,False,0
780233,CPA3174,China,2026-09-07 06:48:59,2026-09-07 06:48:59,-80.7639,28.4188,10668.0,False,256.7,158.73,0.0,,11300.46,5377,False,0
a06db4,AAL2056,United States,2026-09-07 06:48:43,2026-09-07 06:48:43,-108.9917,35.5432,10058.4,False,262.27,72.42,0.0,,10706.1,7356,False,0
a55e48,N445ME,United States,2026-09-07 06:45:37,2026-09-07 06:45:37,-78.4647,40.5196,899.16,False,59.16,90.0,-1.95,,952.5,,False,0
adc319,N986TB,United States,2026-09-07 06:48:58,2026-09-07 06:48:58,-81.2979,29.0669,708.66,False,31.49,218.37,2.6,,716.28,,False,0
ad1cde,JBU1190,United States,2026-09-07 06:49:00,2026-09-07 06:49:00,-86.9214,41.6146,10660.38,False,240.14,79.51,-0.33,,11209.02,7213,False,0
a43e7f,UAL3892,United States,2026-09-07 06:49:00,2026-09-07 06:49:00,-85.9092,40.1455,12192.0,False,199.66,321.8,0.0,,12793.98,0726,False,0
a0275c,AAL28,United States,2026-09-07 06:48:59,2026-09-07 06:49:00,-92.886,41.7267,11292.84,False,247.83,82.85,0.0,,11910.06,2022,False,0
a06ded,REH91,United States,2026-09-07 06:49:00,2026-09-07 06:49:00,-121.1309,38.7885,457.2,False,56.83,350.62,0.0,,434.34,,False,0
89913e,EVA049,Taiwan,2026-09-07 06:48:59,2026-09-07 06:48:59,-108.6538,36.7309,10363.2,False,242.66,290.09,-0.33,,11010.9,,False,0
a3871e,JBU372,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-92.4434,42.5718,10668.0,False,248.15,87.74,0.0,,11247.12,,False,0
8990a6,CAL5382,Taiwan,2026-09-07 06:48:59,2026-09-07 06:49:00,-97.2763,32.9099,10668.0,False,246.55,104.01,0.0,,11369.04,2004,False,0
a36130,DAL2728,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-97.6637,30.2028,,True,0.06,182.81,,,,,False,0
a98408,FFT4966,United States,2026-09-07 06:48:58,2026-09-07 06:48:58,-115.1352,36.0832,,True,0.0,244.69,,,,,False,0
06a30c,QTR8U,Qatar,2026-09-07 06:48:59,2026-09-07 06:48:59,-79.105,45.3377,10363.2,False,257.28,240.67,0.0,,10675.62,0704,False,0
ad60b7,JBU1574,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-92.1744,41.6628,10668.0,False,247.0,86.06,-0.33,,11262.36,7311,False,0
ac9c76,N911XG,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-90.2047,29.8771,411.48,False,55.36,232.17,0.0,,381.0,,False,0
a05c66,N122PA,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-77.8894,35.8713,13716.0,False,207.64,37.55,0.0,,14249.4,3757,False,0
a92dfc,UAL1958,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-91.242,40.8505,10058.4,False,260.86,70.17,0.0,,10614.66,3203,False,0
a43f51,DAL1724,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-107.8271,34.6416,10058.4,False,247.65,84.28,0.0,,10721.34,7346,False,0
