icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
c05e72,ROU1902,Canada,2026-09-07 06:58:18,2026-09-07 06:58:18,-118.1446,49.1113,10066.02,False,220.29,107.67,0.33,,10149.84,,False,0
a4ee2e,AAL3276,United States,2026-09-07 06:58:18,2026-09-07 06:58:18,-114.7862,34.2501,10058.4,False,267.26,75.96,0.0,,10675.62,7335,False,0
a575e0,AAL1188,United States,2026-09-07 06:58:17,2026-09-07 06:58:17,-98.9954,37.3198,10058.4,False,245.99,73.73,-0.33,,10721.34,0746,False,0
a6c061,N534ME,United States,2026-09-07 06:58:17,2026-09-07 06:58:18,-79.9597,40.4217,480.06,False,61.44,334.72,0.33,,510.54,,False,0
ab2ae0,N819AW,United States,2026-09-07 06:57:32,2026-09-07 06:57:39,-71.0195,42.3606,,True,0.0,28.12,,,,,False,0
a6709b,DAL1114,United States,2026-09-07 06:58:17,2026-09-07 06:58:17,-98.2779,46.2706,10683.24,False,266.98,106.34,-0.33,,11269.98,,False,0
ad2445,JBU816,United States,2026-09-07 06:58:17,2026-09-07 06:58:18,-122.3717,37.6156,,True,4.89,90.0,,,,,False,0
ad7e6f,JBU515,United States,2026-09-07 06:58:18,2026-09-07 06:58:18,-121.0167,37.6257,5669.28,False,184.63,260.54,-9.43,,5913.12,1532,False,0
c01696,PHX594,Canada,2026-09-07 06:58:15,2026-09-07 06:58:15,-79.6477,43.6897,,True,7.2,67.5,,,,4716,False,0
a33716,AAL1009,United States,2026-09-07 06:58:17,2026-09-07 06:58:17,-109.2541,38.9866,10668.0,False,267.5,65.46,0.0,,11285.22,1004,False,0
ad35ef,N950PC,United States,2026-09-07 06:58:18,2026-09-07 06:58:18,-72.1342,42.654,6903.72,False,186.57,41.65,-5.2,,7033.26,7153,False,0
a12ac7,UAL1266,United States,2026-09-07 06:58:16,2026-09-07 06:58:17,-112.5423,30.9611,9448.8,False,238.08,122.11,0.0,,10058.4,6304,False,0
a12ac8,UAL1665,United States,2026-09-07 06:58:18,2026-09-07 06:58:18,-118.8446,38.4983,10058.4,False,259.9,81.0,-0.33,,10477.5,3364,False,0
a3373a,AAL3028,United States,2026-09-07 06:58:17,2026-09-07 06:58:18,-108.2098,38.0642,9753.6,False,208.2,246.1,0.0,,10355.58,6572,False,0
a12ac2,UAL1406,United States,2026-09-07 06:58:17,2026-09-07 06:58:18,-112.233,39.4682,10058.4,False,277.75,78.46,-0.33,,10546.08,,False,0
a74e7a,ASA371,United States,2026-09-07 06:58:18,2026-09-07 06:58:18,-98.2176,45.8913,11277.6,False,263.29,100.01,0.0,,11856.72,,False,0
a1e411,JBU1024,United States,2026-09-07 06:58:17,2026-09-07 06:58:17,-107.7823,39.2062,10066.02,False,265.4,72.86,-0.33,,10683.24,7251,False,0
a12aa1,UAL1962,United States,2026-09-07 06:58:17,2026-09-07 06:58:17,-116.9613,33.815,8237.22,False,237.08,75.42,3.9,,8694.42,1035,False,0
a1f794,ABX505,United States,2026-09-07 06:58:18,2026-09-07 06:58:18,-99.692,37.0588,10972.8,False,228.05,257.63,0.0,,11673.84,,False,0
a69761,SCX3096,United States,2026-09-07 06:58:18,2026-09-07 06:58:18,-100.0165,37.2532,11277.6,False,246.58,75.01,0.0,,11993.88,7217,False,0
a12aeb,UAL702,United States,2026-09-07 06:55:45,2026-09-07 06:55:45,-80.2782,25.7899,,True,3.34,22.5,,,,3342,False,0
a099a5,N138HN,United States,2026-09-07 06:57:10,2026-09-07 06:57:11,-79.9609,40.4431,289.56,False,0.73,135.0,-2.28,,327.66,,False,0
a0b169,ATN3337,United States,2026-09-07 06:58:18,2026-09-07 06:58:18,-118.1079,34.8908,8793.48,False,229.89,347.33,6.83,,9220.2,7274,False,0
ad6b0e,AMX008,United States,2026-09-07 06:53:49,2026-09-07 06:53:50,-94.4848,25.4778,12192.0,False,255.42,210.9,0.0,,12885.42,0706,False,0
acae3c,N916PB,United States,2026-09-07 06:58:17,2026-09-07 06:58:18,-104.9877,39.9099,2263.14,False,53.52,178.35,0.0,,2324.1,,False,0
a11d47,DAL310,United States,2026-09-07 06:58:18,2026-09-07 06:58:18,-105.0291,41.0595,11285.22,False,253.87,106.97,-0.33,,11925.3,2623,False,0
71bc36,AIH281,Republic of Korea,2026-09-07 06:56:51,2026-09-07 06:56:51,-124.9472,41.4396,9753.6,False,228.09,324.73,0.0,,10066.02,1023,False,0
ac4ffb,SWA1683,United States,2026-09-07 06:58:17,2026-09-07 06:58:17,-117.2753,38.5209,10660.38,False,262.19,85.39,0.0,,11148.06,3213,False,0
ab6061,N832GC,United States,2026-09-07 06:54:29,2026-09-07 06:54:29,-115.1608,36.097,647.7,False,3.92,203.2,4.23,,617.22,,False,0
a11cc1,ABX3111,United States,2026-09-07 06:58:17,2026-09-07 06:58:17,-106.86,40.3114,11003.28,False,217.65,253.66,-0.33,,11620.5,6233,False,0
a59d63,ASA214,United States,2026-09-07 06:58:17,2026-09-07 06:58:17,-117.542,47.4969,10058.4,False,239.31,88.4,-0.33,,10157.46,,False,0
a12fda,DAL650,United States,2026-09-07 06:58:17,2026-09-07 06:58:17,-115.3355,39.6947,11285.22,False,270.96,73.11,-0.65,,11765.28,,False,0
