icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
a4495b,UAL1652,United States,2026-09-07 07:02:35,2026-09-07 07:02:35,-119.2345,47.5932,10058.4,False,241.01,122.98,0.33,,10142.22,,False,0
a8064e,N616PA,United States,2026-09-07 07:01:05,2026-09-07 07:01:05,-92.6339,31.7174,815.34,False,61.07,156.67,0.0,,822.96,,False,0
3c4599,BOX619,Germany,2026-09-07 06:59:56,2026-09-07 06:59:56,-118.3815,33.9375,53.34,False,82.38,263.19,-4.55,,30.48,2144,False,0
a66346,AAL2775,United States,2026-09-07 07:02:08,2026-09-07 07:02:23,-122.3859,37.6101,,True,0.0,340.31,,,,,False,0
a0b5f5,N145HC,United States,2026-09-07 07:02:36,2026-09-07 07:02:36,-75.3694,39.7633,289.56,False,60.17,97.37,-0.33,,312.42,,False,0
a47e28,EJA389,United States,2026-09-07 07:02:35,2026-09-07 07:02:35,-74.4049,42.625,13106.4,False,240.47,92.45,0.0,,13411.2,2617,False,0
a3f07f,,United States,2026-09-07 06:59:13,2026-09-07 06:59:13,-97.0342,32.8897,,True,0.0,272.81,,,,,False,0
abd6c6,FDX34,United States,2026-09-07 07:02:36,2026-09-07 07:02:36,-75.1432,36.9195,10668.0,False,269.13,88.69,0.0,,11102.34,,False,0
71bd79,AAR203,Republic of Korea,2026-09-07 07:02:36,2026-09-07 07:02:36,-123.2398,36.2223,10363.2,False,248.79,299.48,0.0,,10835.64,,False,0
a9ab05,ASA1648,United States,2026-09-07 07:02:36,2026-09-07 07:02:36,-115.399,43.8401,10668.0,False,248.97,120.96,0.0,,10934.7,4333,False,0
a71b43,AAL2873,United States,2026-09-07 07:02:36,2026-09-07 07:02:36,-120.5431,44.8773,8107.68,False,242.29,110.9,5.85,,8214.36,,False,0
a4bb89,,United States,2026-09-07 07:01:01,2026-09-07 07:01:01,-90.5247,37.9021,647.7,False,54.91,12.99,-1.63,,662.94,,False,0
a4ce9d,FFT3521,United States,2026-09-07 07:02:36,2026-09-07 07:02:36,-114.2978,35.8229,4191.0,False,167.35,298.46,-7.8,,4411.98,6624,False,0
a46b6b,N384P,United States,2026-09-07 07:02:33,2026-09-07 07:02:34,-113.1287,33.7821,1729.74,False,55.51,290.62,-0.33,,1790.7,,False,0
a2946d,N26533,United States,2026-09-07 07:01:59,2026-09-07 07:02:00,-94.9879,37.9238,2225.04,False,92.47,214.57,-2.28,,2316.48,,False,0
a066c7,FDX64,United States,2026-09-07 07:02:35,2026-09-07 07:02:35,-87.7192,34.0519,12192.0,False,204.52,299.21,0.0,,12893.04,7462,False,0
a5449a,AAL3022,United States,2026-09-07 07:02:35,2026-09-07 07:02:36,-101.2662,35.1292,9456.42,False,247.64,109.41,0.0,,10126.98,,False,0
71be17,KAL208,Republic of Korea,2026-09-07 07:02:35,2026-09-07 07:02:35,-123.2673,36.1883,10972.8,False,245.73,300.16,0.0,,11475.72,1530,False,0
71be40,AAR223,Republic of Korea,2026-09-07 07:02:35,2026-09-07 07:02:36,-81.7044,44.9352,10363.2,False,213.35,312.65,-0.33,,10736.58,1623,False,0
a5edca,N481RC,United States,2026-09-07 07:01:26,2026-09-07 07:01:26,-81.3409,28.5502,,True,0.0,95.62,,,,,False,0
a5a38e,ASA2623,United States,2026-09-07 07:02:35,2026-09-07 07:02:35,-102.558,38.5837,11582.4,False,222.03,274.92,0.0,,12313.92,,False,0
a79386,ASA2613,United States,2026-09-07 07:02:36,2026-09-07 07:02:36,-80.5248,38.8828,12192.0,False,243.54,251.14,0.0,,12702.54,1506,False,0
a1f8d3,N226RS,United States,2026-09-07 07:02:36,2026-09-07 07:02:36,-75.425,41.1844,4061.46,False,184.28,113.7,-11.05,,4183.38,2673,False,0
0c20f3,CMP850,Panama,2026-09-07 07:02:36,2026-09-07 07:02:36,-106.4932,28.9526,10668.0,False,233.52,116.57,0.0,,11376.66,7260,False,0
a48e46,DAL764,United States,2026-09-07 07:02:28,2026-09-07 07:02:29,-104.7556,36.0054,10058.4,False,253.58,67.08,0.0,,10728.96,1350,False,0
a80329,SKW5586,United States,2026-09-07 06:58:36,2026-09-07 06:58:36,-122.5835,45.5901,-38.1,False,64.26,299.23,-3.25,,76.2,3232,False,0
ac3c0e,FDX6427,United States,2026-09-07 07:02:35,2026-09-07 07:02:35,-117.6106,44.5909,11277.6,False,267.84,127.51,0.0,,11498.58,7224,False,0
0c2188,CMP409,Panama,2026-09-07 07:01:51,2026-09-07 07:01:51,-94.2236,26.8411,10668.0,False,235.88,131.2,0.0,,11308.08,3303,False,0
a1d2dc,JBU488,United States,2026-09-07 07:02:36,2026-09-07 07:02:36,-106.9818,39.9984,10058.4,False,263.26,66.14,0.33,,10675.62,1060,False,0
abe79d,SWA3534,United States,2026-09-07 07:02:36,2026-09-07 07:02:36,-115.9308,45.7743,10668.0,False,241.14,123.25,0.0,,10835.64,,False,0
a6e8ae,VOS4313,United States,2026-09-07 07:02:36,2026-09-07 07:02:36,-77.8553,38.5165,5029.2,False,188.45,210.7,7.48,,5219.7,,False,0
adbe91,JBU1400,United States,2026-09-07 07:02:36,2026-09-07 07:02:36,-93.8427,30.6249,10668.0,False,225.69,112.94,0.0,,11338.56,2744,False,0
39d2b3,AFR027,France,2026-09-07 07:02:36,2026-09-07 07:02:36,-94.4442,46.3632,11887.2,False,262.23,85.27,0.0,,12443.46,,False,0
a3bdac,DAL2635,United States,2026-09-07 07:02:24,2026-09-07 07:02:29,-122.3818,37.6149,,True,0.0,289.69,,,,1524,False,0
ab8411,FDX5038,United States,2026-09-07 07:02:36,2026-09-07 07:02:36,-85.4677,35.7306,10668.0,False,249.47,81.82,0.0,,11300.46,,False,0
a81755,N620ME,United States,2026-09-07 07:02:36,2026-09-07 07:02:36,-79.5778,40.3122,541.02,False,61.5,109.04,-0.33,,594.36,,False,0
a54163,FFT1280,United States,2026-09-07 07:02:36,2026-09-07 07:02:36,-91.6176,30.7694,10668.0,False,241.16,122.81,0.0,,11338.56,3256,False,0
a339b1,DAL2617,United States,2026-09-07 06:59:45,2026-09-07 07:02:35,-93.2299,44.866,,True,0.13,0.0,,,,,False,0
ac3b51,SWA2333,United States,2026-09-07 07:02:36,2026-09-07 07:02:36,-107.2685,35.5683,10668.0,False,253.06,86.5,0.0,,11376.66,2335,False,0
aa7718,SWA1558,United States,2026-09-07 07:02:35,2026-09-07 07:02:35,-97.4834,37.3815,11277.6,False,244.34,115.97,-0.33,,11986.26,3536,False,0
adab38,TAI568,United States,2026-09-07 07:02:36,2026-09-07 07:02:36,-79.4079,28.297,10119.36,False,239.89,22.44,2.6,,10721.34,4653,False,0
a12f73,UAL8108,United States,2026-09-07 07:02:35,2026-09-07 07:02:36,-81.3737,30.1295,10668.0,False,240.05,357.05,0.0,,11292.84,3775,False,0
a61f05,ASA464,United States,2026-09-07 07:02:35,2026-09-07 07:02:35,-120.2542,47.2026,8336.28,False,237.07,103.55,4.88,,8412.48,,False,0
a7816a,DAL1697,United States,2026-09-07 07:02:35,2026-09-07 07:02:35,-99.3439,39.1375,11277.6,False,250.05,71.16,0.33,,12009.12,2612,False,0
a12f52,UAL367,United States,2026-09-07 07:02:36,2026-09-07 07:02:36,-119.4586,37.8154,10972.8,False,214.34,261.44,0.0,,11452.86,5663,False,0
ab1d30,DAL309,United States,2026-09-07 07:02:36,2026-09-07 07:02:36,-107.0351,37.1337,11269.98,False,263.96,80.46,0.0,,11986.26,7231,False,0
0c2084,CMP404,Panama,2026-09-07 07:02:35,2026-09-07 07:02:35,-78.158,31.7085,10668.0,False,230.99,3.83,0.0,,11254.74,7452,False,0
a7f6b9,FFT2428,United States,2026-09-07 07:02:36,2026-09-07 07:02:36,-114.6394,35.8914,4991.1,False,209.26,86.48,7.8,,5242.56,3373,False,0
a540e3,AAL2714,United States,2026-09-07 07:02:34,2026-09-07 07:02:34,-107.3192,35.0041,10058.4,False,257.88,69.32,0.0,,10751.82,,False,0
ad1560,JBU608,United States,2026-09-07 07:02:36,2026-09-07 07:02:36,-102.5292,34.3996,10073.64,False,239.46,110.5,0.0,,10744.2,,False,0
4d2017,FJO97,Malta,2026-09-07 07:02:35,2026-09-07 07:02:35,-67.3694,45.5624,13716.0,False,254.33,229.51,0.33,,13906.5,2647,False,0
a32803,AAL2453,United States,2026-09-07 07:02:35,2026-09-07 07:02:35,-113.72,36.7863,10058.4,False,278.03,54.87,0.0,,10637.52,7366,False,0
a43518,N370PH,United States,2026-09-07 07:02:34,2026-09-07 07:02:34,-87.0385,36.8758,685.8,False,66.01,345.1,0.0,,685.8,,False,0
0d0fed,VOI1010,Mexico,2026-09-07 07:02:35,2026-09-07 07:02:35,-111.6022,29.4706,10363.2,False,244.08,311.92,0.0,,11056.62,,False,0
a12ee0,UAL1802,United States,2026-09-07 07:02:35,2026-09-07 07:02:36,-116.4701,45.8048,10058.4,False,248.76,87.27,0.33,,10187.94,3541,False,0
a11bc8,UAL2397,United States,2026-09-07 07:02:36,2026-09-07 07:02:36,-90.9157,41.5914,11879.58,False,264.42,82.85,-0.33,,12512.04,2034,False,0
a8af9d,QXE2023,United States,2026-09-07 07:02:35,2026-09-07 07:02:35,-122.6897,43.2354,10972.8,False,224.58,357.11,0.0,,11269.98,3321,False,0
0c202c,CMP807,Panama,2026-09-07 07:02:36,2026-09-07 07:02:36,-77.9592,37.2437,9753.6,False,237.68,211.01,0.0,,10165.08,4422,False,0
a6b0c5,DAL27,United States,2026-09-07 07:02:35,2026-09-07 07:02:35,-107.6783,43.0309,10972.8,False,246.69,313.82,0.0,,11506.2,2576,False,0
0d0fc1,VOI188,Mexico,2026-09-07 07:02:36,2026-09-07 07:02:36,-113.7042,31.3635,10347.96,False,238.25,298.5,0.0,,11026.14,,False,0
0d0fde,VOI1017,Mexico,2026-09-07 07:02:35,2026-09-07 07:02:35,-116.9974,32.4395,2080.26,False,141.5,117.03,10.08,,2148.84,1450,False,0
aafc36,DAL395,United States,2026-09-07 07:02:35,2026-09-07 07:02:35,-116.2642,42.7775,10058.4,False,269.32,100.34,0.0,,10325.1,,False,0
a66239,JBU2490,United States,2026-09-07 07:02:27,2026-09-07 07:02:32,-74.1864,40.6879,,True,0.0,317.81,,,,,False,0
a29266,N265JP,United States,2026-09-07 06:59:52,2026-09-07 06:59:53,-122.8559,41.8193,3291.84,False,91.78,176.14,0.33,,3413.76,6622,False,0
a7f804,SKW5592,United States,2026-09-07 07:02:35,2026-09-07 07:02:36,-119.2542,34.0887,6050.28,False,189.58,324.5,7.48,,6362.7,1052,False,0
c00714,H125V,Canada,2026-09-07 07:02:35,2026-09-07 07:02:35,-79.7545,43.5827,457.2,False,31.73,289.9,0.33,,502.92,4374,False,0
a79531,N588SA,United States,2026-09-07 07:02:35,2026-09-07 07:02:35,-122.4001,44.5269,5128.26,False,133.29,178.45,0.33,,5234.94,,False,0
